,web_browser,operating_sys,from_url,to_url,city,longitude,latitude,time_zone,time_in,time_out
31,Mozilla/4.0,Windows,,www.cnic.navy.mil,Honolulu,21.3139,-157.824493,Pacific/Honolulu,1331923276,1331922709
35,Mozilla/4.0,Windows,,www.cnic.navy.mil,Honolulu,21.3139,-157.824493,Pacific/Honolulu,1331923278,1331922709
58,Mozilla/4.0,Windows,,www.cnic.navy.mil,Honolulu,21.3139,-157.824493,Pacific/Honolulu,1331923294,1331922709
59,Mozilla/4.0,Windows,,www.cnic.navy.mil,Honolulu,21.3139,-157.824493,Pacific/Honolulu,1331923295,1331922709
60,Mozilla/4.0,Windows,,www.navy.mil,Honolulu,21.3139,-157.824493,Pacific/Honolulu,1331923295,1331921801
117,Mozilla/4.0,Windows,,www.nasa.gov,Houston,29.775499,-95.415199,America/Chicago,1331923339,1330539686
119,Mozilla/4.0,Windows,,studentaid.ed.gov,Needham,42.279301,-71.245003,America/New_York,1331923339,1308751691
130,Mozilla/4.0,Windows,www.aashtojournal.org,www.dot.ca.gov,Berkeley,37.878101,-122.271004,America/Los_Angeles,1331923351,1331757763
150,Mozilla/4.0,Windows,,www.navy.mil,Mililani,21.4701,-157.963699,Pacific/Honolulu,1331923371,1331921801
184,Mozilla/4.0,Windows,,www.cnic.navy.mil,Mililani,21.4701,-157.963699,Pacific/Honolulu,1331923407,1331922709
192,Mozilla/4.0,Windows,,www.cnic.navy.mil,Mililani,21.4701,-157.963699,Pacific/Honolulu,1331923415,1331922709
203,Mozilla/4.0,Windows,,www.navy.mil,Mililani,21.4701,-157.963699,Pacific/Honolulu,1331923426,1331922453
204,Mozilla/4.0,Windows,,www.navy.mil,Mililani,21.4701,-157.963699,Pacific/Honolulu,1331923427,1331922453
216,Mozilla/4.0,Windows,,www.cnic.navy.mil,Mililani,21.4701,-157.963699,Pacific/Honolulu,1331923437,1331922709
218,Mozilla/4.0,Windows,,www.cnic.navy.mil,Mililani,21.4701,-157.963699,Pacific/Honolulu,1331923438,1331922709
306,Mozilla/5.0,iPad,,www.fda.gov,Torrance,33.8302,-118.314697,America/Los_Angeles,1331923514,1331818358
312,Mozilla/4.0,Windows,,www.cnic.navy.mil,Honolulu,21.3139,-157.824493,Pacific/Honolulu,1331923522,1331922709
316,Mozilla/4.0,Windows,,www.navy.mil,Mililani,21.4701,-157.963699,Pacific/Honolulu,1331923529,1331921801
368,Mozilla/4.0,Windows,,www.cnic.navy.mil,Mililani,21.4701,-157.963699,Pacific/Honolulu,1331923582,1331922709
372,Mozilla/4.0,Windows,,www.cnic.navy.mil,Honolulu,21.3139,-157.824493,Pacific/Honolulu,1331923584,1331922709
382,Mozilla/5.0,Ubuntu,today.lbl.gov,www.jgi.doe.gov,Albany,37.8895,-122.294701,America/Los_Angeles,1331923593,1316635895
398,Mozilla/5.0,Windows,today.lbl.gov,www.jgi.doe.gov,Berkeley,37.866798,-122.253601,America/Los_Angeles,1331923611,1316635895
422,Mozilla/4.0,Windows,,www.navy.mil,Honolulu,21.3139,-157.824493,Pacific/Honolulu,1331923637,1331921801
473,Mozilla/4.0,Windows,fightbac.org,www.cdc.gov,East Orange,40.763901,-74.212601,America/New_York,1331923668,1292424029
476,Mozilla/4.0,Windows,,www.navy.mil,Honolulu,21.3139,-157.824493,Pacific/Honolulu,1331923670,1331921801
550,Mozilla/4.0,Windows,,www.fmcsa.dot.gov,Bellows Falls,43.1731,-72.495697,America/New_York,1331923736,1326483268
623,Mozilla/5.0,Windows,www.facebook.com,www.cdcr.ca.gov,Lady Lake,28.931801,-81.954102,America/New_York,1331923809,1248360950
684,Mozilla/5.0,Windows,,www.cdcr.ca.gov,Pittsburg,38.0051,-121.838699,America/Los_Angeles,1331923875,1248360950
860,Mozilla/5.0,Windows,www.conferencealerts.com,www.jgi.doe.gov,Riga,56.950001,24.1,Europe/Riga,1331924015,1297260131
866,Mozilla/4.0,Windows,,www.navy.mil,Mililani,21.4701,-157.963699,Pacific/Honolulu,1331924020,1331922453
889,Mozilla/4.0,Windows,,www.dot.ca.gov,Sacramento,38.5765,-121.444504,America/Los_Angeles,1331924036,1331757763
915,Mozilla/4.0,Windows,,www.navy.mil,Mililani,21.4701,-157.963699,Pacific/Honolulu,1331924063,1331922453
923,Mozilla/4.0,Windows,,www.navy.mil,Honolulu,21.3139,-157.824493,Pacific/Honolulu,1331924063,1331922453
944,Mozilla/5.0,Windows,,www.fda.gov,Oakland,37.794998,-122.219299,America/Los_Angeles,1331924080,1331818358
955,Mozilla/5.0,iPhone,m.facebook.com,www.cdcr.ca.gov,Winters,38.5602,-121.996101,America/Los_Angeles,1331924087,1248360950
1003,Mozilla/4.0,Windows,,www.cnic.navy.mil,Mililani,21.4701,-157.963699,Pacific/Honolulu,1331924129,1331922709
1004,Mozilla/4.0,Windows,,www.cnic.navy.mil,Mililani,21.4701,-157.963699,Pacific/Honolulu,1331924129,1331922709
1085,Mozilla/5.0,Macintosh,,www.kids.gov,Chicago,41.8675,-87.6744,America/Chicago,1331924222,1331821140
1103,Mozilla/5.0,Windows,today.lbl.gov,www.jgi.doe.gov,Albany,37.8895,-122.294701,America/Los_Angeles,1331924241,1316635895
1168,Mozilla/5.0,Windows,www.indy.gov,www.indy.gov,Wayne,40.054798,-75.408302,America/New_York,1331924321,1331567925
1196,Mozilla/4.0,Windows,,www.cnic.navy.mil,Mililani,21.4701,-157.963699,Pacific/Honolulu,1331924350,1331922709
1227,Mozilla/4.0,Windows,www.army.mil,www.army.mil,Akron,41.075199,-81.458099,America/New_York,1331924381,1327440468
1427,Mozilla/5.0,iPhone,m.facebook.com,www.cdcr.ca.gov,Bakersfield,35.549801,-118.917099,America/Los_Angeles,1331924580,1248360950
1459,Mozilla/4.0,Windows,,www.navy.mil,Honolulu,21.3139,-157.824493,Pacific/Honolulu,1331924611,1331922453
1500,Mozilla/5.0,Windows,www.aashtojournal.org,appropriations.senate.gov,Silver Spring,39.004601,-77.036903,America/New_York,1331924653,1331839113
